notebook,plasmids,runtime_s,runtime_h,manual_time_s,manual_time_h,time_saved_s,speed_up_factor
W1_OEx_10.ipynb,10,10.71,0.003,7200,2.0,7189.29,672.3
W1_OEx_100.ipynb,100,55.55,0.0154,72000,20.0,71944.45,1296.2
W1_OEx_1000.ipynb,1000,500.13,0.1389,720000,200.0,719499.87,1439.6
W2_CRISPR-BEST_10.ipynb,10,8.63,0.0024,7200,2.0,7191.37,834.5
W2_CRISPR-BEST_100.ipynb,100,30.55,0.0085,72000,20.0,71969.45,2356.9
W2_CRISPR-BEST_1000.ipynb,1000,378.43,0.1051,720000,200.0,719621.57,1902.6
W4_CRISPRi_10.ipynb,10,6.59,0.0018,7200,2.0,7193.41,1093.2
W4_CRISPRi_100.ipynb,100,20.66,0.0057,72000,20.0,71979.34,3484.3
W4_CRISPRi_1000.ipynb,1000,176.39,0.049,720000,200.0,719823.61,4081.9
W5_CRISPR-cas9_10.ipynb,10,7.05,0.002,7200,2.0,7192.95,1021.0
W5_CRISPR-cas9_100.ipynb,100,19.2,0.0053,72000,20.0,71980.8,3749.7
W5_CRISPR-cas9_1000.ipynb,1000,165.15,0.0459,720000,200.0,719834.85,4359.7
W6_CRISPR-cas3_10.ipynb,10,7.81,0.0022,7200,2.0,7192.19,922.2
W6_CRISPR-cas3_100.ipynb,100,39.83,0.0111,72000,20.0,71960.17,1807.6
W6_CRISPR-cas3_1000.ipynb,1000,388.03,0.1078,720000,200.0,719611.97,1855.5
