#;Sample ID;User name;Date and Time;Nucleic Acid;Unit;A260 (Abs);A280 (Abs);260/280;260/230;Sample Type;Factor
4;1;Lab User;13-12-2023 12:10:50;194;ng/µl;388;221;176;57;DNA;5000
5;1;Lab User;13-12-2023 12:11:57;694;ng/µl;1389;868;160;64;DNA;5000
6;1;Lab User;13-12-2023 12:12:35;735;ng/µl;1471;865;170;41;DNA;5000
7;1;Lab User;13-12-2023 12:13:00;74;ng/µl;149;77;194;11;DNA;5000
8;1;Lab User;13-12-2023 12:13:54;580;ng/µl;1160;659;176;58;DNA;5000
9;1;Lab User;13-12-2023 12:14:21;591;ng/µl;1182;643;184;107;DNA;5000
10;1;Lab User;13-12-2023 12:14:52;639;ng/µl;1277;688;186;106;DNA;5000
11;1;Lab User;13-12-2023 12:15:14;284;ng/µl;568;304;187;51;DNA;5000
12;1;Lab User;13-12-2023 12:15:38;654;ng/µl;1307;763;171;67;DNA;5000
13;1;Lab User;13-12-2023 12:16:00;886;ng/µl;1772;956;185;75;DNA;5000
14;1;Lab User;13-12-2023 12:16:20;443;ng/µl;886;526;169;45;DNA;5000
15;1;Lab User;13-12-2023 12:16:44;224;ng/µl;448;254;176;41;DNA;5000
16;1;Lab User;13-12-2023 12:17:09;677;ng/µl;1355;838;162;42;DNA;5000
17;1;Lab User;13-12-2023 12:17:31;266;ng/µl;531;270;197;19;DNA;5000
18;1;Lab User;13-12-2023 12:17:54;276;ng/µl;553;343;161;17;DNA;5000
19;1;Lab User;13-12-2023 12:18:16;120;ng/µl;239;155;155;37;DNA;5000
20;1;Lab User;13-12-2023 12:18:37;241;ng/µl;482;292;165;44;DNA;5000
